File: c05-report-object-projection-runtime-race.test
Type: cpu
Time: 2026-09-14 17:45:54 CST
Duration: 563.87s, Total samples = 1049.33s (186.10%)
Showing nodes accounting for 921.80s, 87.85% of 1049.33s total
Dropped 2277 nodes (cum <= 5.25s)
      flat  flat%   sum%        cum   cum%
         0     0% 66.97%     40.26s  3.84%  github.com/domainry/domainry-identity/internal/infrastructure/persistence/database/identity.(*SQLIdentityStore).ListIdentityUserRoleAssignments
         0     0% 66.97%     40.26s  3.84%  github.com/domainry/domainry-identity/internal/infrastructure/persistence/database/identity.(*SQLIdentityStore).loadUserRoleAssignments
     0.01s 0.00095% 66.97%     40.26s  3.84%  github.com/domainry/domainry-identity/internal/infrastructure/persistence/database/identity/authorization/role.(*Store).ListUserAssignmentsWithinDataScope
         0     0% 66.97%     40.18s  3.83%  runtime.resetspinning
         0     0% 66.97%     37.70s  3.59%  github.com/domainry/domainry-agent/internal/application.(*ConversationService).executeConversationTool
         0     0% 66.97%     37.52s  3.58%  github.com/domainry/domainry-agent-sdk/browsergateway.NewHandler.(*boundary).authenticated.func6
    36.54s  3.48% 70.45%     36.54s  3.48%  __tsan_read
    33.95s  3.24% 73.69%     33.95s  3.24%  runtime.findObject
         0     0% 73.69%     32.93s  3.14%  github.com/domainry/domainry-runtime/runtime/application/agenthost.(*ConversationBusinessHost).AuthorizeConversationTool
         0     0% 73.69%     32.38s  3.09%  github.com/domainry/domainry-agent/internal/application.(*ConversationService).registeredExecutionCatalog
         0     0% 73.69%     32.29s  3.08%  github.com/domainry/domainry-runtime/runtime/application/agenthost.(*ConversationBusinessHost).authorizeAction
         0     0% 73.69%     32.04s  3.05%  github.com/domainry/domainry-tools/internal/application/tool.(*Combined).ConversationTools
         0     0% 73.69%     31.70s  3.02%  github.com/domainry/domainry-runtime/runtime/bootstrap/integrationtest.verifyUnpublishedMixedOldRoleDelivery
         0     0% 73.69%     31.59s  3.01%  github.com/domainry/domainry-agent-sdk/browsergateway.NewHandler.func3
         0     0% 73.69%     31.25s  2.98%  github.com/domainry/domainry-agent/internal/application.(*ConversationService).reauthorizeExecutionInputs
     0.16s 0.015% 73.70%     30.43s  2.90%  modernc.org/sqlite/lib._sqlite3WhereBegin
         0     0% 73.70%     30.26s  2.88%  github.com/domainry/domainry-agent/internal/application.(*collaborationToolHost).ConversationTools
         0     0% 73.70%     29.81s  2.84%  github.com/domainry/domainry-runtime/runtime/bootstrap/integrationtest.TestLegacyAgreementUpdateRestartResumeAndOriginalHistoryThroughRealHTTP
     6.44s  0.61% 74.32%     28.99s  2.76%  runtime.checkptrArithmetic
         0     0% 74.32%     28.57s  2.72%  testing.tRunner
         0     0% 74.32%     27.90s  2.66%  github.com/domainry/domainry-tools/internal/application/tool.(*Selection).AuthorizeConversationToolResultRead
         0     0% 74.32%     27.84s  2.65%  github.com/domainry/domainry-tools/internal/application/tool.(*Combined).AuthorizeConversationToolResultRead
         0     0% 74.32%     27.65s  2.64%  github.com/domainry/domainry-agent/internal/application.authorizeToolResultRead
         0     0% 74.32%     27.60s  2.63%  github.com/domainry/domainry-agent/internal/application.(*extensionInteractionHost).AuthorizeConversationToolResultRead
         0     0% 74.32%     27.54s  2.62%  github.com/domainry/domainry-runtime/runtime/bootstrap/integrationtest.(*businessBrowser).call.func1
    27.02s  2.57% 76.89%     27.02s  2.57%  __tsan::MemoryAccessRangeT
     0.20s 0.019% 76.91%     26.21s  2.50%  github.com/domainry/domainry-identity/internal/domain/identity/service.identityPermissionStateFingerprint
         0     0% 76.91%     25.88s  2.47%  github.com/domainry/domainry-agent/internal/application.(*ConversationService).executionCatalogForRun
    25.47s  2.43% 79.34%     25.47s  2.43%  racecall
         0     0% 79.34%     24.96s  2.38%  github.com/domainry/domainry-identity/internal/domain/identity/service.(*IdentityDomainService).userByID
         0     0% 79.34%     24.69s  2.35%  github.com/domainry/domainry-runtime/runtime/bootstrap/integrationtest.(*businessBrowser).call
         0     0% 79.34%     23.97s  2.28%  github.com/domainry/domainry-runtime/runtime/bootstrap/integrationtest.verifyMixedOldRoleAutomaticDelivery
         0     0% 79.34%     23.52s  2.24%  github.com/domainry/domainry-runtime/runtime/bootstrap/composition.newRuntimeServicesState.func1
         0     0% 79.34%     23.52s  2.24%  github.com/domainry/domainry-runtime/runtime/bootstrap/composition.recordSchemaSnapshot
         0     0% 79.34%     23.52s  2.24%  github.com/domainry/domainry-runtime/runtime/domain/appschema/service.BuildSchemaSnapshot
         0     0% 79.34%     23.52s  2.24%  github.com/domainry/domainry-runtime/runtime/domain/appschema/service.SchemaSnapshotHash
         0     0% 79.34%     23.44s  2.23%  github.com/domainry/domainry-identity/internal/domain/identity/service.(*IdentityDomainService).ResolveEffectiveRoleAssignments
         0     0% 79.34%     23.43s  2.23%  github.com/domainry/domainry-runtime/runtime/bootstrap/composition.(*RecordSchemaSnapshotProvider).Schema
         0     0% 79.34%     23.26s  2.22%  database/sql.(*DB).QueryRowContext
         0     0% 79.34%     23.18s  2.21%  github.com/domainry/domainry-runtime/runtime/application/agenthost.(*ConversationBusinessHost).reportPrincipal
         0     0% 79.34%     23.01s  2.19%  github.com/domainry/domainry-identity/internal/domain/identity/service.(*IdentityDomainService).resolvePrincipalScopeIDs
         0     0% 79.34%     22.76s  2.17%  github.com/domainry/domainry-runtime/runtime/application/principal.(*BusinessPrincipalApplicationService).ResolveBusinessPrincipal
