File: c05-schema-and-assessment-compaction-final-race.test
Type: cpu
Time: 2026-09-14 20:22:13 CST
Duration: 184.90s, Total samples = 326.16s (176.40%)
Showing nodes accounting for 287.91s, 88.27% of 326.16s total
Dropped 1867 nodes (cum <= 1.63s)
      flat  flat%   sum%        cum   cum%
         0     0% 76.30%      6.36s  1.95%  github.com/domainry/domainry-agent/internal/application.(*PersonalConversationHost).ConversationTools
         0     0% 76.30%      6.31s  1.93%  github.com/domainry/domainry-agent-sdk/browsergateway.(*boundary).forwardConversation
         0     0% 76.30%      6.23s  1.91%  github.com/domainry/domainry-identity/internal/infrastructure/persistence/database/identity/projection/user.(*Store).ListWithinDataScope
         0     0% 76.30%      6.15s  1.89%  github.com/domainry/domainry-identity/internal/infrastructure/persistence/database/identity.(*SQLIdentityStore).ListIdentityUsers
         0     0% 76.30%      6.15s  1.89%  github.com/domainry/domainry-identity/internal/infrastructure/persistence/database/identity.(*SQLIdentityStore).loadUsers
     1.38s  0.42% 76.73%      6.12s  1.88%  runtime.checkptrArithmetic
     0.05s 0.015% 76.74%      5.94s  1.82%  modernc.org/sqlite/lib._sqlite3WhereBegin
         0     0% 76.74%      5.71s  1.75%  github.com/domainry/domainry-identity/internal/application/identity.(*IdentityApplicationService).ListMenus
         0     0% 76.74%      5.71s  1.75%  github.com/domainry/domainry-identity/internal/infrastructure/persistence/database/identity.(*SQLIdentityStore).ListIdentityMenus
         0     0% 76.74%      5.71s  1.75%  github.com/domainry/domainry-identity/internal/infrastructure/persistence/database/identity/authorization/menu.(*Store).LoadMenus
     0.15s 0.046% 76.79%      5.63s  1.73%  encoding/json.interfaceEncoder
         0     0% 76.79%      5.62s  1.72%  github.com/domainry/domainry-agent/internal/application.(*businessConversationHost).AuthorizeConversationTool
         0     0% 76.79%      5.56s  1.70%  github.com/domainry/domainry-identity/internal/domain/identity/service.(*IdentityDomainService).resolvePrincipalScopeIDs
     5.37s  1.65% 78.43%      5.37s  1.65%  __tsan_write
         0     0% 78.43%      5.26s  1.61%  modernc.org/sqlite/lib._sqlite3Reprepare
         0     0% 78.43%      5.13s  1.57%  database/sql.(*DB).execDC
         0     0% 78.43%      5.13s  1.57%  database/sql.(*DB).execDC.func2
         0     0% 78.43%      5.13s  1.57%  database/sql.ctxDriverExec
         0     0% 78.43%      5.13s  1.57%  github.com/domainry/domainry-foundation/telemetry.(*observedConn).ExecContext
         0     0% 78.43%      5.13s  1.57%  github.com/domainry/domainry-foundation/telemetry.(*observedConn).execContext
         0     0% 78.43%      5.13s  1.57%  github.com/domainry/domainry-identity-sdk/application.authentication.CurrentSession
